client,impulsionamento_budget,n_monthly_contracted_feed_instagram_mandalecas,n_monthly_contracted_feed_linkedin_mandalecas,n_monthly_contracted_stories_instagram_mandalecas,n_monthly_contracted_feed_tiktok_mandalecas,url_img_logo,ativo,is_active_impulsionamento_instagram,is_active_trafego_pago,is_active_redes_linkedin,meta_ads_account_id ,is_active_redes_instagram,n_usuario_nstagram,instagram_profile_id,facebook_page_id,google_ads_account_id,hashtag_padrao,linkedin_profile_id,n_monthly_contracted_creative_mandalecas,n_monthly_contracted_content_production_mandalecas,n_monthly_contracted_format_adaptation_mandalecas,tiktok_profile_id
1a99,,20,,30,,,TRUE,FALSE,FALSE,FALSE,,TRUE,,,,,,,,,,
Dra. Joana Diniz,,0,,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,
705 RESTAURANTE & BAR,,30,,30,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-16-2.jpg,TRUE,FALSE,TRUE,FALSE,1153344872735364,TRUE,705restauranteebar,"1,7841447811877E+016",110001198023208,2014742701,#705RestauranteEBar,,,1,,
Aço Atacado,,12,,16,,,TRUE,FALSE,FALSE,FALSE,,TRUE,acoatacado,,,,#AçoAtacado,,26,,,
Ademi - BA,200,12,12,16,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-29-2.jpg,FALSE,TRUE,TRUE,TRUE,197321610993362,TRUE,ademi.ba,"1,78414074627928E+016",183417645028286,,#AdemiBa,80881771,4,,,
Arena Esportiva,,60,,120,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fm.facebook.com%2Fgrupoarenaesportiva%2F&psig=AOvVaw01xjGrEdfrk9hq-FXe47IL&ust=1707331948712000&source=images&cd=vfe&opi=89978449&ved=0CBIQjRxqFwoTCPj2gamxl4QDFQAAAAAdAAAAABAD,TRUE,FALSE,FALSE,FALSE,,TRUE,grupoarenaesportiva,"1,78414130464812E+016",,,#ArenaEsportiva,,,,,
ArenaMed,,8,,12,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-31-1.jpg,FALSE,FALSE,FALSE,FALSE,,TRUE,arenamed.oficial,"1,78414072778023E+016",200117067412753,,#ArenaMed,,,,,
Consul Engenharia,,8,8,12,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-20-2.jpg,TRUE,TRUE,FALSE,TRUE,580510312695737,TRUE,Consul Engenhariaengenharia,"1,78414134494408E+016",107099621634302,,#Consul EngenhariaEngenharia,15808199,2,,1,
Contijá,,8,,12,,,TRUE,FALSE,FALSE,FALSE,,TRUE,contija_contabilidade,"1,78414597569163E+016",205485432648333,,#Contijá,,,,,
CREMEB - Chapa 1,1000,12,,16,,,FALSE,FALSE,FALSE,FALSE,255206413790449,TRUE,emdefesadamedicina,"1,7841407716773E+016",,,,,,,,
